reviews,n_course_id
"This is most definitely NOT for ""Everybody.""  The lectures by Severance are great; but, if you get stuck on an assignment, don't expect straightforward, polite direction from the forum and it's TAs.  I was shocked by how negative some of the responses were that I received from the TA.  I got stuck on a problem.  When I ran the program on my Mac, I got the desired result.  When I ran the same program on the automatic grader, the program failed.  The TA said that I must have run the wrong program on my Mac.  No, I did not.  I ran the program so many times, I know that I wasn't running the wrong program.  I needed help ""getting over a hump"" and there was no help.  As a busy professional, I don't have the life of a full-time student filled with numerous hours to try to figure out where I'm making a mistake.  I need direct communication telling me where why my program is failing and why, so I can learn and move on.  That was NOT provided in this class.  ""Clues"" were given in the forum, but I don't have time to play games with snarky TAs.  I'll find a course that IS for everyone, but this one is NOT it.",8
This coursera team has given me a night mare today. The course is superb and the tutor is also very good. But the thing is regarding their prices. I purchased this entire course(5 courses) for 49$ initially. But later I thought of applying for the financial aid for the entire course. I applied and waited for 15 days to receive the status. After 15 days the financial aid is approved. After completing the first course in this 5 course part it is asking me to purchase another course for 79$. Team please remember one thing any one would apply for financial aid to seek help from you.  Not to keep burden. I cannot apply for the financial aid again as I was in my last semester and I want to complete the course asap. Now I was in total confusion and they totally betrayed me. So the next four courses would cost me 79*4=316$ and my first price for all the 5 subcourses is 49$. Just compare yourself. This is totally unacceptable.,8
This course is absolutely pathetic. The instructor is condescending and there is very little that you can learn from this course. The course is structured poorly. Short videos that have very little connection with the actual course material are thrown around the course structure. There is no continuity because of these videos. This is definitely not good quality material on python for beginners. Do not be deceived by the high rating of the course. You will be disappointed.,8
"Very brief and inadequate for a $50 investment.I am very disappointed that the course was, surprisingly and unexpectedly cut off in the middle of the already too short beginning course. Even more cash required to continue. Compared to online free resources available, definitely not worth the investment.  I wish I had my money back to put to better use.I am surprised even further by all the online positive reviews that encouraged me to start with Coursera.Mark London",8
"Chapter One,  is absoluty time loss,  is ego storm, not need lisenone chapter,  no have teory for read,  exercises. only   bla bla bla.and bad speakersNo tiene español...  pero lo que escrbi fue..El capitulo Uno,  ¡un capitulo completo¡  no enseña nadaes absolutamente tiempo perdido, es una tormenta de egos, no necesito escuchar eso.no tiene lecturas, no ejercicios,  solo  bla bla blay los relatores son pesimos,  pueden ser inteligentes,  pero no son instructores.",8
"While the lectures were a little slow about providing information, they were entertaining.But I feel very mislead about the costs. The lecturer repeated over and over how everything is free but, in the end, only the first course in the series is free. Then you must pay a monthly fee in order to go on. I would not have continued with the first course if I'd known that was all there was going to be. ",8
"I decided not to pay for this course.  They make it almost impossible to cancel.  After thoroughly searching and searching on how to cancel I finally was able to.  A few days later they charged my card anyway.  Of course they say no refunds, but I tried to call and complain anyhow.  Well, I couldn't find anyone to call or even email.  I feel like this is all a scam.  Not cool.",8
"Pacing is terrible, too much bloat content, and concepts are not explained in an accurate or useful way. For example, the professor talks about ""talking to Python."" This metaphor doesn't make sense and doesn't convey how programming actually works. It is frustrating that something as elegant as programming is taught in such a sloppy and condescending way.",8
I must not learn well by video or align with the teaching methods. I really had to work through my own understanding and application of Python that I think we kept at a very general brush. I wanted to learn to learn Python for my work in baseball and statistics but it didn't meet the standard. ,8
"Too much 'noise' in the teaching videos. Number of words could be at least 5 times less with the same learning content.This type of videos makes it really hard to follow a course since it teaches you not to give attention, since 80% of the videos is noise.Needs a lot of cleanup.",8
"This course is way too slow  and boring. I am disappointed I have paid so much for so few content here. Why a full specialisation cycle when one or two courses would probably have been more than enough ? Too much distraction as well, with ""funny"" videos that I had to pay for...",8
The class is very very basic for the offered price. Not suitable for someone from Computer science background looking to learn Python as this can be done with couple of hours of self study. Not sure why Coursera would make such begginers class mandatory for the specialization. ,8
"Videos. Lots of videos. It's essentially like watching a YouTube montage, but far less entertaining or informative. No hands-on exercises, with very simple assignments and tests. (Although tests and assignments shouldn't be difficult at this level). ",8
"If you plan to purchase this course, enjoy, but the course isn't really free.You can watch the lectures, but you must pay to unlock the python playground. There's no real point to the course if you can't test your knowledge. ",8
The teaching is very bad. It is a basic manners not drink coffee/tea while teaching on the video. Also the explanations are very general and doesn't feel like programming class but feels like some fish market. ,8
"
Pretty bad as far as I am conerned. I spent two days clicking back and forth and listening to a lot of talk that taught me nothing. Sorry about that, but there are better courses on the Internet than this one.
",8
Trivial course.  This 7-week course can be easily completed in an hour.  I learned nothing from this course that I did not already know about python.  This course is strictly for beginners.,8
"Here in the certificate  written ""an online non-credit course authorized by University of Michigan and offered through
Coursera""so there is no credit  then ,it is not benefit to me",8
"I got really bored with the class. In the beginning, my goal was to write a computer code but the first week was only about the business side. Maybe I'm more hands on.",8
Suddenly thrust into Windows command lines. Incomprehensible. The course advertisement stated that no prior experience is necessary -- not so! Enormous waste of time.,8
"



I singed up for this suppossed free course and now I got charged 44 euros. I do not want this and I deamand a refund. I'had already cancell all my subscriptions.",8
"Only for those who are new to everything involving computers. If you know how to turn your own computer off and on, look for a more advanced course than this.",8
I did like this course however it is very very basic. I think it should have been merged with course 2 as the course contents are as good as one week work.,8
"It is not that much useful, because there is no that much content to implement new things.So change that immediately otherwise it is waste of money.",8
"The title of this class should have read ""Programming for Anybody that already knew a decent amount about basic Programming(Continuing with Python)""",8
Course did not meet my expectations. I would not have paid the $80 for it knowing what I know now. I also found the lectures to be not very helpful. ,8
"After week 4, it says upgrade to submit but I have financial aid for this course and it still says upgrade to submit for the assignment.",8
"Great introduction and the instructor is very charismatic, but the material wasn't sufficiently taught for completing exercises.",8
"Not clear enough to be introductory. There are better and free videos on YouTube. Not at the level I was expecting for the ""M"".",8
Its very bad for me that it is a non credit course shown after i have completed this and i have got certifiate of nkn credit,8
"Escuse me , I  done a mistake,I kindly request you to unenroll me from this course.                   Thanking you",8
"This is not a start, at the end of the course, you still can't use python. And even the tools don't work properly. ",8
"Bad, no interaction. I'm billed without ordering. No way to contact CourserA !Bad, bad bad ... this never again.",8
the course covered very little topics of python (20%). Giving 7 weeks is a waste of time to learn basic things. ,8
i had technical problems with both coursers's online system and also with the 3rd party online coding tool,8
The teacher approaches the students like a naive pal. Completely unprofessional and noneducational .,8
I don't get my certificate till now this is very disappointing please provide me my certificate,8
Auto Grader is very bad. Keeps giving indentation error. Lots of time wasted due to that.,8
the name on my certificate is not correct then what is use of learning this entire shit!,8
"Por favor pueden ayudarme para cancelar este curso, no lo voy a tomar por el idioma.",8
  Poor feedback and advice with those who really do not know of programming. To shame!  ,8
Not user friendly and the presentatation is very difficult including the navigation,8
Course is not good and interactive course instructor will not respond any queries ,8
"Better off using Udemy, more organized, cheaper and better instructors that way.",8
"Hate this class, I wasted 200 bucks on this crap and now I am stuck taking it...",8
  Horrible TAs. They should all be changed. They are extremely rude and annoying.  ,8
There is too much time spent on stuff that isn't programming.  It's maddening.,8
I had not recieved certificate of my name although profile is of my name,8
Its very basic and u can find 100% of the stuff on YouTube for free,8
dar raddhi course hai mere bhai .kuch toh pda 7 week ka course,8
Verification process  is  big issue for getting certificate,8
I had cancelled this subscription but still I got charged.,8
homework is badly designed. it covers too little materials,8
My name was incorrect   so pls do correct kunar to  kumar,8
I am not learning much just learning about the professor,8
last assignment was tricky and was not able to answer ,8
Signed up accidentally. I want to unenroll but can't,8
confusing- never really got off the ground with it.,8
"Very slow class, a lot of repetitions in the videos",8
Too simple. Uses the same example over and again.,8
Didn't learn anything new. Too much of chit chat.,8
Can't participate in assignments unless you pay,8
the pattern is very very bad. i hate coursera. ,8
"did my force of some katavaru,mutal in tamil ",8
Lectures are poorly prepared and unfocused,8
hard to understand and complete the quiz. ,8
Please provide an option to unsubscribe.,8
Teaching staff unhelpful and not polite. ,8
very basic course even for beginners,8
explanation is less about the topics,8
Please increase the depth of course,8
There are no subtitles in Russian.,8
I wouldn't recommend it to anyone. ,8
uses and ancient version of python,8
its not letting me unenroll :l,8
Thr podcasts doesnt not work .,8
too long for few information,8
make the other courses free,8
worst quiz structures ever,8
Unnecessary lengthy course,8
not intresrtd in continung,8
Is there a way to cancel?,8
Still canny program. 0/10 ,8
where is my certificate?,8
no tiene idioma español,8
Worst course ever seen,8
cheating with charges,8
unable to un-enroll. ,8
it is a good lecture,8
"Quite stupid, sorry. ",8
not worth your time,8
kind of okay but...,8
dont understand it,8
对网络要求太高，上课非常不方便！！！,8
Not interesting!,8
Not recommended,8
Useless course!,8
Nothing help me,8
too slowboring ,8
Poor course.,8
Way to easy,8
pretty dumb,8
Too Basic!,8
Very Basic,8
too simple,8
Very slow.,8
我要退订，帮帮我！,8
thank you,8
Too easy.,8
too basic,8
horrible,8
too slow,8
ho ho,8
ok ok ,8
good,8
good,8
Nice,8
 nnn,8
GOO,8
Ok,8
.,8
.,8
"Too much introduction. There is no need to spend so much time on it. People that take this course usually understand what is data science. they need to learn real knowledge, not spend the whole week on introduction. ",14
"Too basic. If you live under a rock and have never heard of Data Science, a Data Scientist or any terms related to this industry then this is a wonderful course for you. For everyone else, it is a total waste of time. ",14
"Very, very basic... completely useless and a waste of time. I feel like the only purpose of this course is to drag out the certification process so that it costs you more money...",14
This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,14
Should this even be a course? Like they just say things that anyone can find the first thing on google if search you data science.,14
"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ",14
"useless, wasting time",14
"The course seems poorly pieced together with videos from Big Data University - which is now known as Cognitive Class. There is mainly little coherence into what the course is trying to teach in all the videos. Readings were given on a rather low resolution image file - that makes it difficult to read and kinda 1990s feel. Is it that difficult to save the pdf in text or include a higher res image file?Similar to the point that a data science report should indicate the details and affiliations of the person writing the report, many speakers in the videos apart from the two professors does not have any background information. Who are they? Where are they from? What background are they speaking from? All these are important context for learning. I did learn something from the final assignment though. However, that was personal reflection and learning from peers. Thinking whether I should continue with this course.",14
"Waste of time. Most of the material was ""fluff"" about data science. What was actually useful could have been accomplished with a 2-3 page pdf. Only finished it, because I'm taking it as part of the IBM specialization through my work. I REALLY hope the other courses are more useful and worth the time. Very disappointed in this course.",14
"A very basic and shallow introduction to data science. Too much hand-holding and too much time spent discussions of little value. Ideal for someone who is very young and very new to the field., everyone else should avoid it.",14
"This cannot be considered as  a course  it tells some general info about the experience of some professors but  nothing technical,  of course it's useful but it's not really worth it ",14
The course doesn't teaches anything except for explaining data science benefits and examples.,14
"I'm sorry to give a low rating, but this course is condescending.  Some of the statements are also opinions that contradict things you will hear in other courses, not to mention that a great part of the course is obvious, academic approaches and even how to structure a report like a thesis. This course added absolutely nothing to my knowledge. You're better off reading a recent blog post, or simply an introduction from a good book on applied ML/data science. ",14
This course is borderline insulting!The entire course content could be summaries on half A4 page.The video clips are interviews with people working in the field. the reading material either reiterate the video clip content or presents a new concept in an elementary school level.,14
I dont appreciate the Peer-graded assessment part. It is simply not acceptable to be reliant on other students for assessment. This is just lazy.,14
For what?,14
"i thought a lot of questions were subjective at aimed at the academic field. It neglected to refer to real world situations and jobs, which is where the majority of learners will surely be coming from. Probably a little bit my own perspective, but I dislike when Data Scientists big them up to be so much better than every other profession and separate themselves from statistics so much (it's part of statistics and should just be considered a branch of such in my opinion, not a separate profession). There was too much of it here.  ",14
"Very very superficial, most of the course material is about the profile, job and prospects of a data scientist. Hardly any of the content is about the actual science and technology. A few sketchy minutes are spent on Hadoop and deep learning, the rest is fluff. Waste of my time. Too bad, IBM is such a forefront player, I expected a lot more. ",14
Little value in terms of knowledge or skills for somebody paying for this course. Single Wiki document will cover the entire course content.,14
"Don't take it. No Course Instructors, no help. Not worth the money...Even the Working Platform is always timing out or has a gateway error.",14
"This is literally just hype for data science with no substance, include coding from day one or get real, I'm here to learn.",14
"In the peer graded assignments, there are always students intentionally click on the lowest score!",14
Didn't really learn anything but I guess it was a good gatekeeper.,14
IBM Cloud advertisement and nothing more.,14
Utter waste of time,14
"Extremely basic introductory course. Unfortunately you don't learn much about actual data science methods. Quiz questions tend to require you to memorize word for word quotations of supplied text, as opposed to challenging you to think about concepts. I would recommend this course for someone completely new to the idea of data science, but not to people who already know a bit.",14
"Completely waste of time! Very Disappointed with this course. This teaching method is completely inefficient. Some professional people will be interviewed and then you should answer quizzes after each video. It takes more than 3 hours to complete this course, however, all useful information could be provided in 5 slides and discuss them only for 20-30 minutes.",14
" [Reviewing the entire IBM Data Science specialization but points are applicable for
each course]I signed up for the
IBM Data Science specialization and I was genuinely excited to start
it for some 4-5 weeks (I had a GCP exam coming up). I eventually
started the specialization beginning of August `20 and started making
my way though it and I was amazed … amazed of how much a pile of
bullshit this specialization is. I made it though the first 4 courses
and at the end of the SQL for data science I couldn’t take it
anymore. Here’s why:1. First and
foremost, the entire specialization (all 4 courses I have taken at
least) were full of typos and broken URLs which a lot of other
students confirm as well. This does not speak professionalism to me
but whatever, lets move on.2. The in-video
quizzes and following tests are simply ridiculous … you are
expected to have memorized content word by word rather than
understand thing for your own and be able to explain them. Some of
the question were so far away from tech courses it is not even funny.3. The final
assignments are a total joke. We are asked to review each other which
IMHO is a terrible idea since we are all just starting up. Nothing
stops you from giving top marks to a bad assignments and vice versa.4. We eventually got
to the more techy part and even got code snippets and jupyter
notebooks to look through but they were still bad. There was no
proper order in which information was presented i.e. you would read
python and seaborn code in the SQL course’s tasks even though
python and matplotlib/seaborn are discussed in the following courses.5. And my final and
biggest problem with this whole specialization is that it all feel
like an extended advertisement of this piece-of-dodo tech inbred
excuse-of-a-software called IBM cloud. There are constants up-sells
here and there how almighty IBM is and how great their cloud and IBM
Watson Studio are … they are not. I had to spend 2+ hours fixing
problems with jupyter notebooks and their cloud just to complete my
assignments which both took me 30ish minutes. They mention open
source and even though there are open source equivalents to jupyter
they insist using IBM cloud. I kept having the feeling they are more
focused on promoting IBM products than actually bringing quality
content.6. Now after
finishing the SQL course there was a 1min survey which I gladly
filled in basically letting them know their specialization if
terrible and is doing more harm than good in my opinion. I even sent
them a quick challenge because I do not think IBM maintains this
course at all or even reads the reviews. You can see my challenge to
IBM here: https://bit.ly/3geOyfbI was very saddened
by the quality of the specialization and the content and was
wondering whether I should even try and finish the remaining courses
but after reading some reviews on the remaining courses I figured out
it was just more of the same. If you are in the same boat I would
recommend the kaggle micro-courses which I will focus on starting
next week.In conclusion, I got
this whole specialization for free via financial aid and I have to
say even though I did not pay a dime I feel I need to be compensated
by IBM and refunded real money for torturing myself with their
courses.  ",14
"Be warned!!I took this course and completed then got my 'digital badge'.  However, for me and 100's of other students (according to the forums) our grades and progress disappeared.  Coursera, are telling students to report the issue but after 2 weeks and hundreds of complaints nothing has happened.The course itself is OK but when you are PAYING it is very poor support.",14
"Really disappointed with the whole specialisation... I am leaving this review here because probably you might not check the others courses before you start it. Specialisation is short and it is the only good thing about it. It took me I think 10-12 hours to do it.So first of all the whole thing is not really informative. A lack of videos - Most of the time there is only ""power-point""presentation with code written on it.  I don't really understand why they have narrator who just read text - no emotions almost like a machine.Courses:1. You will spend a lot of time learning listening to videos about how sexy is to be data scientist... and that parents start sending their daughters for data science (sic!), and that it is a new science... Plus some rather simple information which you rather know taking into consideration you want to study it online. At least it is nice to watch - there is life in it.2. You will spend the whole course watching different notebooks like jupyter R studio etc . without really learning any useful stuff. In the end you will just click run to create some already written commands in python. Yeap that's it.  I know it is intro but adding 1 +1 third time in different console... 3.  You will learn some methodology - A lot of complicated knowledge read by narrator who is not making it easier or more interesting. Almost like somebody reading you technical book...4. SQL - you will try to learn it from presentations. I think there are no proper videos just images in narrated power point presentation. I watched some coursera lectures about sql before but still I had problems with following it. To make it worst you will have to use IBM products which are FREE - other reviews are probably outdated. The problem is that materials from this course are also outdated. So they are presenting you IBM tool-set which is already different. It is a problem because they are not even trying to show how they work just where to click. I managed, you will too but, IBM, please do better.  ",14
"Hi,I completed entire program and received the Professional Certificate. On the Coursera link of my certificate ""3 weeks of study, 2-3 hours/week average per course"" is written. This information is not correct at all, it takes approximately 3 times of that time on average! I informed Coursera about it but no correction was made. It should be corrected with ""it takes approximately 19 hours study per course"" or ""Approx. 10 months to complete Suggested 4 hours/week for the Professional Certificate"".Here is the approximate duration for each course can be found one by one clicking the webpages of the courses in the professional certificate webpage: (*)Course 1: approximately 9 hours to completeCourse 2: approximately 16 hours to completeCourse 3: approximately 9 hours to completeCourse 4: approximately 22 hours to completeCourse 5: approximately 14 hours to completeCourse 6: approximately 16 hours to completeCourse 7: approximately 16 hours to completeCourse 8: approximately 20 hours to completeCourse 9: approximately 47 hours to completeThis makes in total approximately 169 hours to complete the Professional Certificate. As there are 9 courses, each course takes approximately 19 hours (=169/9) to complete.(*):  https://www.coursera.org/professional-certificates/ibm-data-science?utm_source=gg&utm_medium=sem&campaignid=1876641588&utm_content=10-IBM-Data-Science-US&adgroupid=70740725700&device=c&keyword=ibm%20data%20science%20professional%20certificate%20coursera&matchtype=b&network=g&devicemodel=&adpostion=&creativeid=347453133242&hide_mobile_promo&gclid=Cj0KCQjw0Mb3BRCaARIsAPSNGpWPrZDik6-Ne30To7vg20jGReHOKi4AbvstRfSbFxqA-6ZMrPn1gDAaAiMGEALw_wcB ",14
"The course content is exciting and high level. In this course the student does not do any hands on data science, except the occasional introduction to an IBM tool. Instead, they are introduced to a broad range of topic, tools, and perspectives on data science. It is a good introduction to the subject, and I would likely have given this course three stars, maybe four, had there not been so many large bugs, that at the time of this writing, almost two weeks since posting in the Discussion Forums and contacting Coursera Help several times, has not been fixed.For anyone going into the course, please take screenshots of all quizzes and assignments you complete. If you experience the same issue I have, and hundreds of others are having, than your progress data may get erased. I should have received my badge for completing this course two weeks ago but it is still saying I have ""overdue"" items and that I've completed everything at the same time.I am sad to give this one start rating, but so it goes. I hope they fix this as soon as possible, and it may end up affecting people's billing.",14
"A complete waste of anyone's time who knows anything about data science and would seek the data science specialization on this site.  Further, the course material thus far appears to be a paid-for repackaging of free instructional materials offered by IBM at bigdatauniversity.com.  Why I had to sit through this material is beyond me in the context of a data science skills tract. Please, stop wasting professionals' precious time and money with this material.  This material took me merely a weekend to get through, not 3 weeks, the framing of which seems questionable at best.  Please remove this from the overall specialization.  My experiences thus far make me feel that I may not continue with this set of courses if this is the level of quality I can expect.",14
"I am subscribed to and paying for the IBM Data Science Professional Certificate and when I attempt to submit a quiz within the ""What is Data Science?"" course the submit button displays ""Upgrade to submit"". When I attempt to go through any of the customer service or chat windows which themselves are hard to find, the chat window does not display properly or function in the slightest. This was also the case when I attempted to submit a support request or create a ticket within the mobile app. Terrible and frustrating experience. At this point I'm unsure as to what to do besides cancel my subscription and give up on the money I have already payed as they seem to be instant on not allowing you to contact any customer service representatives.",14
"There should be an option to rate zero stars ! I am CS graduate, and also has deep understanding of learning algorithms. Isn't it's a huge waste of time, spending three weeks to recite the definition of data science and data scientist ? I believe most of the students in this course are somewhat from CS or equivalent background. And for them its just a trash!People, maybe high school kids may say oh no its such a good course, i never knew data can be such impactful bla bla bla, they might find this course little bit useful than just googling : ""what is data science ?""And the quizzes, lol that's just joke. You have to recite salary figures from supplementary pdf so it might make you feel good! who knows !",14
"Lost quizzes that I took multiple times, weeks after I'd completed the course and issued a certificate, Coursera web site now saying that I didn't complete it, and the certificate is missing.  Many others have posted in Coursera forums reporting the same issue.  We have reported to support and keep getting the same answer ""our team is working on it"".  No timeline for resolution, no updates on progress.  Nobody can complete the program and obtain the Data Science Professional certification if this class is not marked as complete.",14
"This is not a course. I was upset when a subscription was renewed and I immediately cancelled. I tried to get a refund but coursera would not allow. You will learn more from youtube. This is a gross waste of time and money, and goes on to show how superficial our fixation on certificates are. The course is an insult. I could have taught the three weeks on an A4 paper, instead of watching some uninspired students. ",14
"Don't pay for this course, it's useless. For example: What's Data Science? It's what data scientists do. And at the exam you should have answered exactly like that, even if you don't have any idea on what's the meaning of ""data"". And this should be a ""Professional"" certificate. Try to answer like that to someone about whatever question you can think of and they will burn you alive.",14
"Useless BS Fluff class. Make some of this optional reading in another class, but don't make is seem like it has any value. You risk loosing people in different cert programs. It makes a cert program look inflated, such as 9 classes...with this being one of them it's really only eight classes. Then you start with this BS and you question the value of the entire program.",14
"Too basic, useless and total waste of time and money. You get nothing out of this course except for some basic information about data science that you could have easily learned from various free online sources out there. I agree with other reviewers that the only purpose of this course is to drag out the certification process so that it costs you more money...",14
"During this course, be prepared to wade through the huge paragraphs of the text. There are not so many practical exercises, just two, so most of the time you will play the game is true-false. The final assignment is not much about practising big data or data science technologies. I hope there will be increasing of the number of practical tasks. ",14
"waste of my money. Did not learn anything new, may be good for people coming from non-technical background. Video snippets without much technical value or learning isn't of much value to me.The image recognition exercise is also not up to the mark in detecting parameters. I felt very disappointed and at loss with this course.",14
"i was charged for this course without any prior notification mine money was deducted from mine account when I requested for refund there was proper channel to place query regarding refund. coursera is just a fake they take money in the name of education , it was mine life biggest mistake to come here",14
"This is really bad, I completed this course last month, and got the badge, no my grades disappeared, with not answer from teaching staff or coursera support, I'm not the only one.I have to redo the course, due to the lack of support, I just want my professional certificate.",14
The quiz questions throughout the course seem to be asking the queston 'Have you studied?' instead of 'Did you learn the anything?'. This approach does not work well for me. I don't need to know the exact wording of a sentence to know if the meaning of it is correct.,14
This section of the course feels like a complete waste of time... Most people who have signed up for this program know what data science is and watching a bunch of random people give generic speeches about their opinion on it is boring and a waste of my time.,14
"There is nothing new I have learnt here., to know the definition of Data Science and its applications why would someone do a course of it, instead one can browse the definitions in Google search. It's just waste of money to invest in the course like this.",14
Not at all worth it. Just provides insights to the field  in layman terms  without actually providing  knowledge to a beginner.All the lessons in the course are just interviews with people.I do not recommend this course at all.Would have rated it 0.5/5,14
Self serving plug by the author to promote his book and his thesis work. There are much better coursesNote to Coursera: The slides and videos are outdated. There are a number of forum posts calling for help.Dismal experience. Worst course ever.,14
"Google Simulating Environment has the bugs and when you writing to Support, this rich guys stat you to do a free ""PROD"" testing : no way, it's theirs bugs, and I have my own. What the hell are paid for?Shame on YOU IBM for such solution!",14
My course progress was DELETED!!!!! I finished this a couple of weeks ago.  Once i completed the third course in the progression for Data Science Professional it didnt send me my badge and erased the progress for the first course!!!!,14
The information provided in this course is very superficial and very outdated. By reading the first paragraph of the Wikipedia page for Data Science you will learn more that if you complete this course. Very disappointing. ,14
"surprisingly lazy and unnecessary course, that brave enough.where other stupidoes goes with 1-2 inspirational videos about data science, IBM did freaking 3-week course about these videos. skip this, you won't need it. ",14
